ZaporednaStevilkaOsebeVPN,VremenskeOkoliscine,StanjePrometa,StanjeVozisca,VrstaVozisca
51001,DEŽEVNO,REDEK,MOKRO,ASFALT
51002,DEŽEVNO,REDEK,MOKRO,ASFALT
52001,VETER,TEKOČ (NORMALEN),SUHO,ASFALT
53001,DEŽEVNO,KOLONA VOZIL,MOKRO,ASFALT
53002,DEŽEVNO,KOLONA VOZIL,MOKRO,ASFALT
53003,DEŽEVNO,KOLONA VOZIL,MOKRO,ASFALT
54001,OBLAČNO,GOST,MOKRO,ASFALT
55001,JASNO,REDEK,SUHO,ASFALT
55002,JASNO,REDEK,SUHO,ASFALT
56001,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
56002,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
57001,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
58001,SNEG,REDEK,SNEŽENO - NEPLUŽENO,ASFALT
59001,DEŽEVNO,TEKOČ (NORMALEN),MOKRO,ASFALT
60001,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
60002,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
61001,SNEG,REDEK,MOKRO,ASFALT
61002,SNEG,REDEK,MOKRO,ASFALT
61003,SNEG,REDEK,MOKRO,ASFALT
62001,OBLAČNO,REDEK,OSTALO,ASFALT
63001,OBLAČNO,REDEK,SUHO,ASFALT
64001,DEŽEVNO,REDEK,MOKRO,ASFALT
64002,DEŽEVNO,REDEK,MOKRO,ASFALT
65001,OBLAČNO,ZASTOJI,SUHO,ASFALT
65002,OBLAČNO,ZASTOJI,SUHO,ASFALT
65003,OBLAČNO,ZASTOJI,SUHO,ASFALT
66001,SNEG,NEZNANO,BLATNO,MAKADAM
67001,DEŽEVNO,TEKOČ (NORMALEN),MOKRO,ASFALT
67002,DEŽEVNO,TEKOČ (NORMALEN),MOKRO,ASFALT
68001,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
68002,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
69001,OBLAČNO,GOST,SUHO,ASFALT
69002,OBLAČNO,GOST,SUHO,ASFALT
70001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
70002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
71001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
71002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
72001,SNEG,REDEK,SNEŽENO - NEPLUŽENO,ASFALT
73001,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
73002,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
74001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
74002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
75001,TOČA,TEKOČ (NORMALEN),POLEDENELO - NEPOSIPANO,ASFALT
76001,OBLAČNO,GOST,SUHO,ASFALT
76002,OBLAČNO,GOST,SUHO,ASFALT
76003,OBLAČNO,GOST,SUHO,ASFALT
77001,MEGLA,REDEK,MOKRO,ASFALT
77002,MEGLA,REDEK,MOKRO,ASFALT
78001,JASNO,GOST,SUHO,ASFALT
79001,JASNO,TEKOČ (NORMALEN),OSTALO,ASFALT
79002,JASNO,TEKOČ (NORMALEN),OSTALO,ASFALT
80001,MEGLA,TEKOČ (NORMALEN),MOKRO,ASFALT
81001,OBLAČNO,GOST,SUHO,ASFALT
82001,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
83001,OBLAČNO,REDEK,MOKRO,ASFALT
84001,DEŽEVNO,REDEK,MOKRO,ASFALT
85001,OBLAČNO,REDEK,MOKRO,ASFALT
85002,OBLAČNO,REDEK,MOKRO,ASFALT
86001,JASNO,NEZNANO,SUHO,ASFALT
86002,JASNO,NEZNANO,SUHO,ASFALT
87001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
88001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
88002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
89001,OBLAČNO,REDEK,MOKRO,ASFALT
89002,OBLAČNO,REDEK,MOKRO,ASFALT
90001,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
91001,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
91002,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
92001,JASNO,GOST,SUHO,ASFALT
92002,JASNO,GOST,SUHO,ASFALT
93001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
93002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
94001,OBLAČNO,REDEK,SUHO,ASFALT
94002,OBLAČNO,REDEK,SUHO,ASFALT
95001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
95002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
96001,OBLAČNO,KOLONA VOZIL,SUHO,ASFALT
96002,OBLAČNO,KOLONA VOZIL,SUHO,ASFALT
97001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
97002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
98001,OBLAČNO,GOST,MOKRO,ASFALT
99001,JASNO,NEZNANO,OSTALO,ASFALT
100001,OBLAČNO,GOST,SUHO,ASFALT
101001,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
101002,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
102001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
102002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
103001,OBLAČNO,REDEK,MOKRO,ASFALT
104001,SNEG,REDEK,SNEŽENO - NEPLUŽENO,ASFALT
105001,OBLAČNO,REDEK,SUHO,ASFALT
106001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
106002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
107001,JASNO,REDEK,SUHO,ASFALT
107002,JASNO,REDEK,SUHO,ASFALT
108001,OBLAČNO,REDEK,MOKRO,ASFALT
109001,NEZNANO,NEZNANO,OSTALO,ASFALT
109002,NEZNANO,NEZNANO,OSTALO,ASFALT
110001,OBLAČNO,REDEK,SUHO,ASFALT
111001,OBLAČNO,REDEK,SUHO,ASFALT
111002,OBLAČNO,REDEK,SUHO,ASFALT
111003,OBLAČNO,REDEK,SUHO,ASFALT
111004,OBLAČNO,REDEK,SUHO,ASFALT
111005,OBLAČNO,REDEK,SUHO,ASFALT
111006,OBLAČNO,REDEK,SUHO,ASFALT
111007,OBLAČNO,REDEK,SUHO,ASFALT
112001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
112002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
113001,OBLAČNO,TEKOČ (NORMALEN),POLEDENELO - POSIPANO,ASFALT
113002,OBLAČNO,TEKOČ (NORMALEN),POLEDENELO - POSIPANO,ASFALT
113003,OBLAČNO,TEKOČ (NORMALEN),POLEDENELO - POSIPANO,ASFALT
114001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
115001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
115002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
116001,MEGLA,TEKOČ (NORMALEN),MOKRO,ASFALT
116002,MEGLA,TEKOČ (NORMALEN),MOKRO,ASFALT
116003,MEGLA,TEKOČ (NORMALEN),MOKRO,ASFALT
117001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
117002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
118001,JASNO,NEZNANO,SUHO,ASFALT
118002,JASNO,NEZNANO,SUHO,ASFALT
119001,JASNO,REDEK,POLEDENELO - POSIPANO,ASFALT
120001,JASNO,REDEK,SUHO,ASFALT
120002,JASNO,REDEK,SUHO,ASFALT
121001,JASNO,REDEK,MOKRO,ASFALT
122001,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
122002,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
123001,OBLAČNO,REDEK,POLEDENELO - NEPOSIPANO,ASFALT
124001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
124002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
125001,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
126001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
126002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
127001,SNEG,TEKOČ (NORMALEN),MOKRO,ASFALT
127002,SNEG,TEKOČ (NORMALEN),MOKRO,ASFALT
128001,OBLAČNO,REDEK,MOKRO,ASFALT
129001,JASNO,REDEK,MOKRO,ASFALT
130001,JASNO,REDEK,SUHO,ASFALT
130002,JASNO,REDEK,SUHO,ASFALT
131001,OBLAČNO,REDEK,MOKRO,ASFALT
131002,OBLAČNO,REDEK,MOKRO,ASFALT
132001,OBLAČNO,TEKOČ (NORMALEN),OSTALO,ASFALT
132002,OBLAČNO,TEKOČ (NORMALEN),OSTALO,ASFALT
133001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
134001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
134002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
135001,OBLAČNO,REDEK,SUHO,ASFALT
135002,OBLAČNO,REDEK,SUHO,ASFALT
136001,JASNO,REDEK,SUHO,ASFALT
136002,JASNO,REDEK,SUHO,ASFALT
137001,JASNO,TEKOČ (NORMALEN),POLEDENELO - POSIPANO,ASFALT
138001,DEŽEVNO,TEKOČ (NORMALEN),MOKRO,ASFALT
138002,DEŽEVNO,TEKOČ (NORMALEN),MOKRO,ASFALT
139001,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
139002,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
140001,JASNO,REDEK,SUHO,ASFALT
141001,DEŽEVNO,REDEK,MOKRO,ASFALT
142001,JASNO,REDEK,MOKRO,ASFALT
143001,DEŽEVNO,GOST,MOKRO,ASFALT
144001,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
145001,JASNO,REDEK,MOKRO,ASFALT
146001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
146002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
146003,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
147001,JASNO,REDEK,SUHO,ASFALT
148001,JASNO,TEKOČ (NORMALEN),POLEDENELO - NEPOSIPANO,MAKADAM
148002,JASNO,TEKOČ (NORMALEN),POLEDENELO - NEPOSIPANO,MAKADAM
149001,OBLAČNO,REDEK,SUHO,ASFALT
149002,OBLAČNO,REDEK,SUHO,ASFALT
150001,JASNO,REDEK,SUHO,ASFALT
150002,JASNO,REDEK,SUHO,ASFALT
151001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
151002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
152001,JASNO,REDEK,SUHO,ASFALT
153001,JASNO,REDEK,SUHO,ASFALT
153002,JASNO,REDEK,SUHO,ASFALT
154001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
155001,JASNO,REDEK,SUHO,ASFALT
155002,JASNO,REDEK,SUHO,ASFALT
155003,JASNO,REDEK,SUHO,ASFALT
156001,DEŽEVNO,TEKOČ (NORMALEN),MOKRO,ASFALT
156002,DEŽEVNO,TEKOČ (NORMALEN),MOKRO,ASFALT
157001,JASNO,GOST,SUHO,ASFALT
157002,JASNO,GOST,SUHO,ASFALT
158001,JASNO,GOST,POLEDENELO - NEPOSIPANO,ASFALT
158002,JASNO,GOST,POLEDENELO - NEPOSIPANO,ASFALT
158003,JASNO,GOST,POLEDENELO - NEPOSIPANO,ASFALT
159001,DEŽEVNO,GOST,MOKRO,ASFALT
160001,OBLAČNO,GOST,MOKRO,ASFALT
160002,OBLAČNO,GOST,MOKRO,ASFALT
161001,JASNO,REDEK,SUHO,ASFALT
162001,JASNO,REDEK,POLEDENELO - POSIPANO,ASFALT
162002,JASNO,REDEK,POLEDENELO - POSIPANO,ASFALT
163001,OBLAČNO,REDEK,SUHO,ASFALT
164001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
164002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
165001,JASNO,REDEK,SUHO,BETON
165002,JASNO,REDEK,SUHO,BETON
166001,OBLAČNO,REDEK,MOKRO,ASFALT
166002,OBLAČNO,REDEK,MOKRO,ASFALT
167001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
168001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
168002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
169001,NEZNANO,NEZNANO,OSTALO,ASFALT
170001,NEZNANO,NEZNANO,OSTALO,ASFALT
171001,NEZNANO,TEKOČ (NORMALEN),SUHO,BETON
171002,NEZNANO,TEKOČ (NORMALEN),SUHO,BETON
172001,JASNO,REDEK,POLEDENELO - NEPOSIPANO,ASFALT
173001,JASNO,GOST,MOKRO,ASFALT
174001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
175001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
175002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
176001,JASNO,REDEK,MOKRO,ASFALT
176002,JASNO,REDEK,MOKRO,ASFALT
177001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
178001,NEZNANO,TEKOČ (NORMALEN),SUHO,ASFALT
179001,JASNO,GOST,SUHO,ASFALT
180001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
181001,JASNO,GOST,SUHO,ASFALT
181002,JASNO,GOST,SUHO,ASFALT
182001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
182002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
183001,OBLAČNO,REDEK,MOKRO,ASFALT
184001,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
184002,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
185001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
185002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
186001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
186002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
186003,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
187001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
187002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
188001,JASNO,REDEK,MOKRO,ASFALT
189001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
189002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
190001,JASNO,REDEK,SUHO,OSTALO
190002,JASNO,REDEK,SUHO,OSTALO
191001,JASNO,REDEK,SUHO,ASFALT
191002,JASNO,REDEK,SUHO,ASFALT
192001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
192002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
193001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
193002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
194001,JASNO,REDEK,SUHO,ASFALT
194002,JASNO,REDEK,SUHO,ASFALT
195001,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
195002,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
196001,JASNO,REDEK,SUHO,ASFALT
196002,JASNO,REDEK,SUHO,ASFALT
197001,OBLAČNO,GOST,MOKRO,ASFALT
197002,OBLAČNO,GOST,MOKRO,ASFALT
197003,OBLAČNO,GOST,MOKRO,ASFALT
197004,OBLAČNO,GOST,MOKRO,ASFALT
197005,OBLAČNO,GOST,MOKRO,ASFALT
198001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
198002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
199001,OBLAČNO,REDEK,MOKRO,ASFALT
200001,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
200002,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
201001,NEZNANO,TEKOČ (NORMALEN),MOKRO,ASFALT
201002,NEZNANO,TEKOČ (NORMALEN),MOKRO,ASFALT
202001,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
202002,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
203001,JASNO,REDEK,SUHO,ASFALT
203002,JASNO,REDEK,SUHO,ASFALT
204001,MEGLA,NEZNANO,SUHO,ASFALT
205001,JASNO,REDEK,MOKRO,ASFALT
205002,JASNO,REDEK,MOKRO,ASFALT
205003,JASNO,REDEK,MOKRO,ASFALT
205004,JASNO,REDEK,MOKRO,ASFALT
206001,JASNO,REDEK,POLEDENELO - POSIPANO,ASFALT
206002,JASNO,REDEK,POLEDENELO - POSIPANO,ASFALT
207001,JASNO,GOST,SUHO,BETON
208001,SNEG,REDEK,MOKRO,ASFALT
209001,DEŽEVNO,GOST,MOKRO,ASFALT
210001,OBLAČNO,REDEK,POLEDENELO - POSIPANO,MAKADAM
210002,OBLAČNO,REDEK,POLEDENELO - POSIPANO,MAKADAM
211001,OBLAČNO,REDEK,SUHO,ASFALT
212001,JASNO,REDEK,MOKRO,ASFALT
212002,JASNO,REDEK,MOKRO,ASFALT
213001,OBLAČNO,REDEK,MOKRO,ASFALT
214001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
215001,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
215002,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
216001,DEŽEVNO,TEKOČ (NORMALEN),MOKRO,ASFALT
216002,DEŽEVNO,TEKOČ (NORMALEN),MOKRO,ASFALT
216003,DEŽEVNO,TEKOČ (NORMALEN),MOKRO,ASFALT
217001,DEŽEVNO,TEKOČ (NORMALEN),MOKRO,ASFALT
218001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
218002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
219001,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
219002,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
220001,JASNO,REDEK,SUHO,ASFALT
220002,JASNO,REDEK,SUHO,ASFALT
221001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
221002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
222001,DEŽEVNO,TEKOČ (NORMALEN),MOKRO,ASFALT
223001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
223002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
224001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
224002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
225001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
225002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
225003,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
226001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
227001,JASNO,REDEK,SUHO,ASFALT
227002,JASNO,REDEK,SUHO,ASFALT
228001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
228002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
228003,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
229001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
229002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
230001,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
230002,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
231001,JASNO,NEZNANO,SUHO,ASFALT
231002,JASNO,NEZNANO,SUHO,ASFALT
232001,JASNO,NEZNANO,OSTALO,ASFALT
232002,JASNO,NEZNANO,OSTALO,ASFALT
233001,JASNO,REDEK,SUHO,ASFALT
234001,OBLAČNO,TEKOČ (NORMALEN),MOKRO,ASFALT
235001,JASNO,REDEK,POLEDENELO - POSIPANO,ASFALT
236001,JASNO,NEZNANO,SUHO,ASFALT
236002,JASNO,NEZNANO,SUHO,ASFALT
237001,JASNO,REDEK,SUHO,ASFALT
237002,JASNO,REDEK,SUHO,ASFALT
238001,OBLAČNO,GOST,MOKRO,ASFALT
239001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
240001,JASNO,REDEK,SUHO,ASFALT
241001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
241002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
242001,OBLAČNO,TEKOČ (NORMALEN),POLEDENELO - POSIPANO,ASFALT
242002,OBLAČNO,TEKOČ (NORMALEN),POLEDENELO - POSIPANO,ASFALT
243001,MEGLA,REDEK,POLEDENELO - POSIPANO,ASFALT
244001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
244002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
245001,JASNO,REDEK,SUHO,ASFALT
245002,JASNO,REDEK,SUHO,ASFALT
246001,DEŽEVNO,REDEK,OSTALO,ASFALT
246002,DEŽEVNO,REDEK,OSTALO,ASFALT
247001,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
247002,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
248001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
248002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
249001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
249002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
250001,OBLAČNO,NEZNANO,MOKRO,ASFALT
250002,OBLAČNO,NEZNANO,MOKRO,ASFALT
250003,OBLAČNO,NEZNANO,MOKRO,ASFALT
251001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
251002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
251003,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
252001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
252002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
253001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
253002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
254001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
254002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
255001,JASNO,GOST,OSTALO,ASFALT
255002,JASNO,GOST,OSTALO,ASFALT
256001,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
256002,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
256003,OBLAČNO,TEKOČ (NORMALEN),SUHO,ASFALT
257001,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
257002,JASNO,TEKOČ (NORMALEN),SUHO,ASFALT
258001,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
258002,JASNO,TEKOČ (NORMALEN),MOKRO,ASFALT
259001,OBLAČNO,REDEK,MOKRO,ASFALT
259002,OBLAČNO,REDEK,MOKRO,ASFALT
